PlayerName,Year,Stage,STG,GC,PC,KOM,SPR,SUM,BKY,ASS,Total
Mark Cavendish,2015,Stage 11,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 12,-,-,3,-,8,-,-,-,11,
Mark Cavendish,2015,Stage 13,-,-,3,-,2,-,-,-,5,
Mark Cavendish,2015,Stage 14,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 15,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 16,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 17,-,-,3,-,-,-,-,2,5,
Mark Cavendish,2015,Stage 18,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 19,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 20,-,-,3,-,-,-,-,-,3,
Mark Cavendish,2015,Stage 21,70,-,3,-,-,-,-,-,73,
Mark Cavendish,2015,Final Classifications,-,-,50,-,-,-,-,-,50,
Geraint Thomas,2015,Stage 1,20,9,-,-,-,-,-,-,29,
Geraint Thomas,2015,Stage 2,20,16,-,-,-,-,-,2,38,
Geraint Thomas,2015,Stage 3,-,12,-,-,-,-,-,12,24,
Geraint Thomas,2015,Stage 4,-,12,-,-,-,-,-,4,16,
Geraint Thomas,2015,Stage 5,-,12,-,-,-,-,-,4,16,
Geraint Thomas,2015,Stage 6,-,11,-,-,-,-,-,4,15,
Geraint Thomas,2015,Stage 7,-,12,-,-,-,-,-,6,18,
Geraint Thomas,2015,Stage 8,-,6,-,-,-,-,-,6,12,
Geraint Thomas,2015,Stage 9,40,13,-,-,-,-,-,6,59,
Geraint Thomas,2015,Stage 10,70,16,-,1,-,6,-,22,115,
Geraint Thomas,2015,Stage 11,10,16,-,-,-,-,-,12,38,
Geraint Thomas,2015,Stage 12,-,16,-,-,-,-,-,10,26,
Geraint Thomas,2015,Stage 13,10,16,-,-,-,-,-,10,36,
Geraint Thomas,2015,Stage 14,-,15,-,-,-,-,-,10,25,
Geraint Thomas,2015,Stage 15,-,15,-,-,-,-,-,10,25,
Geraint Thomas,2015,Stage 16,-,15,-,-,-,-,-,6,21,
Geraint Thomas,2015,Stage 17,-,18,-,-,-,-,-,8,26,
Geraint Thomas,2015,Stage 18,10,18,-,-,-,-,-,8,36,
Geraint Thomas,2015,Stage 19,-,6,-,-,-,-,-,8,14,
Geraint Thomas,2015,Stage 20,-,6,-,-,-,-,-,10,16,
Geraint Thomas,2015,Stage 21,-,6,-,-,-,-,-,10,16,
Geraint Thomas,2015,Final Classifications,-,90,-,-,-,-,-,30,120,
Robert Gesink,2015,Stage 1,25,10,-,-,-,-,-,-,35,
Robert Gesink,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Robert Gesink,2015,Stage 3,10,7,-,-,-,-,-,-,17,
Robert Gesink,2015,Stage 4,10,7,-,-,-,-,-,-,17,
Robert Gesink,2015,Stage 5,-,7,-,-,-,-,-,-,7,
Robert Gesink,2015,Stage 6,20,7,-,-,-,-,-,-,27,
Robert Gesink,2015,Stage 7,-,8,-,-,-,-,-,-,8,
Robert Gesink,2015,Stage 8,-,10,-,-,-,-,-,-,10,
Robert Gesink,2015,Stage 9,-,6,-,-,-,-,-,-,6,
Robert Gesink,2015,Stage 10,100,13,-,3,-,15,-,-,131,
Robert Gesink,2015,Stage 11,5,13,-,2,-,-,-,-,20,
Robert Gesink,2015,Stage 12,-,14,-,-,-,-,-,-,14,
Robert Gesink,2015,Stage 13,15,14,-,-,-,-,-,-,29,
Robert Gesink,2015,Stage 14,-,14,-,-,-,-,-,-,14,
Robert Gesink,2015,Stage 15,-,14,-,-,-,-,-,-,14,
Robert Gesink,2015,Stage 16,-,14,-,-,-,-,-,-,14,
Robert Gesink,2015,Stage 17,-,15,-,-,-,-,-,-,15,
Robert Gesink,2015,Stage 18,25,15,-,-,-,-,-,-,40,
Robert Gesink,2015,Stage 19,50,15,-,-,-,-,-,-,65,
Robert Gesink,2015,Stage 20,-,15,-,-,-,-,-,-,15,
Robert Gesink,2015,Stage 21,-,15,-,-,-,-,-,-,15,
Robert Gesink,2015,Final Classifications,-,220,-,-,-,-,-,-,220,
Joaquim Rodriguez,2015,Stage 1,-,-,-,-,-,-,-,-,0,
Joaquim Rodriguez,2015,Stage 2,-,-,-,-,-,-,-,-,0,
Joaquim Rodriguez,2015,Stage 3,200,3,1,10,-,-,-,-,214,
Joaquim Rodriguez,2015,Stage 4,-,3,-,10,-,-,-,-,13,
Joaquim Rodriguez,2015,Stage 5,-,3,-,10,-,-,-,-,13,
Joaquim Rodriguez,2015,Stage 6,15,3,-,6,-,-,-,-,24,
Joaquim Rodriguez,2015,Stage 7,-,4,-,6,-,-,-,-,10,
Joaquim Rodriguez,2015,Stage 8,20,4,-,6,-,-,-,-,30,
Joaquim Rodriguez,2015,Stage 9,-,3,-,6,-,-,-,-,9,
